"Timestamp","1. What is your primary role on campus?","2. How often do you face difficulties accessing necessary campus services (e.g., academic resources, booking systems, news) because they are scattered across different platforms or websites?","3. Which of the following areas currently causes you the MOST frustration or takes up the most unnecessary time?","4. On a scale of 1 to 5, how useful would a single, centralized digital platform (Smart Campus Ecosystem) be for managing your daily campus activities?","5. Which of the following features do you consider a 'Must-Have' for the new Smart Campus Ecosystem?","6. Are there any other features or integrations you would like to see included in the centralized campus app? (Optional)"
"2026/04/29 6:10:43 PM GMT+8","Student","Often","Finding accurate and up-to-date timetables/schedules","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 12:49:02 PM GMT+8","Student","Always","Missing important announcements or official communications","3","Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 12:59:22 PM GMT+8","Student","Sometimes","Finding accurate and up-to-date timetables/schedules","5","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 1:59:52 PM GMT+8","Student","Always","Missing important announcements or official communications","5","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources);Event Management & Reminders (Calendar integration for key deadlines and events)","-"
"2026/04/30 2:01:46 PM GMT+8","Student","Sometimes","Finding accurate and up-to-date timetables/schedules","3","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources)",""
"2026/04/30 2:09:14 PM GMT+8","Student","Sometimes","Booking or reserving campus facilities (e.g., rooms, equipment, sports grounds)","2","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 2:27:57 PM GMT+8","Student","Often","Finding accurate and up-to-date timetables/schedules","5","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);One-click Facility Booking (Intuitive system for reserving campus resources);Event Management & Reminders (Calendar integration for key deadlines and events)","bus location，individual schedule，and facilty booking"
"2026/04/30 2:35:57 PM GMT+8","Student","Sometimes","Booking or reserving campus facilities (e.g., rooms, equipment, sports grounds)","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 2:36:56 PM GMT+8","Student","Often","Finding accurate and up-to-date timetables/schedules","5","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 2:49:47 PM GMT+8","Student","Sometimes","Missing important announcements or official communications","2","Centralized Announcements/Notifications (Official campus news and alerts)",""
"2026/04/30 2:52:52 PM GMT+8","Student","Sometimes","Finding accurate and up-to-date timetables/schedules","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 2:54:14 PM GMT+8","Student","Always","Finding accurate and up-to-date timetables/schedules","5","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);One-click Facility Booking (Intuitive system for reserving campus resources)",""
"2026/04/30 2:57:18 PM GMT+8","Student","Always","Missing important announcements or official communications","5","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources);Event Management & Reminders (Calendar integration for key deadlines and events)","-"
"2026/04/30 2:57:27 PM GMT+8","Administrator","Often","Finding accurate and up-to-date timetables/schedules","5","Event Management & Reminders (Calendar integration for key deadlines and events)","-"
"2026/04/30 2:57:57 PM GMT+8","Student","Always","Finding accurate and up-to-date timetables/schedules","5","Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources)","-"
"2026/04/30 2:57:58 PM GMT+8","Student","Always","Finding accurate and up-to-date timetables/schedules","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 2:58:08 PM GMT+8","Student","Often","Finding accurate and up-to-date timetables/schedules","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 2:58:13 PM GMT+8","Student","Often","Missing important announcements or official communications","4","Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources)","-"
"2026/04/30 2:58:25 PM GMT+8","Student","Often","Keeping track of campus events and deadlines (academic and social)","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 2:59:02 PM GMT+8","Student","Always","Finding accurate and up-to-date timetables/schedules","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts)",""
"2026/04/30 2:59:27 PM GMT+8","Lecturer","Never","Missing important announcements or official communications","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.)","-"
"2026/04/30 2:59:32 PM GMT+8","Student","Always","Finding accurate and up-to-date timetables/schedules","3","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 2:59:50 PM GMT+8","Student","Often","Finding accurate and up-to-date timetables/schedules","3","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:00:50 PM GMT+8","Student","Often","Finding accurate and up-to-date timetables/schedules","5","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:01:43 PM GMT+8","Student","Often","Finding accurate and up-to-date timetables/schedules","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:01:59 PM GMT+8","Student","Often","Finding accurate and up-to-date timetables/schedules","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:02:59 PM GMT+8","Student","Always","Finding accurate and up-to-date timetables/schedules","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:05:21 PM GMT+8","Student","Sometimes","Finding accurate and up-to-date timetables/schedules","3","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:05:36 PM GMT+8","Student","Often","Finding accurate and up-to-date timetables/schedules","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.)",""
"2026/04/30 3:05:51 PM GMT+8","Student","Rarely","Missing important announcements or official communications","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:06:51 PM GMT+8","Student","Always","Finding accurate and up-to-date timetables/schedules","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:07:46 PM GMT+8","Student","Sometimes","Finding accurate and up-to-date timetables/schedules","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:08:16 PM GMT+8","Student","Sometimes","Booking or reserving campus facilities (e.g., rooms, equipment, sports grounds)","3","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.)",""
"2026/04/30 3:09:01 PM GMT+8","Student","Sometimes","Finding accurate and up-to-date timetables/schedules","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:09:43 PM GMT+8","Student","Sometimes","Missing important announcements or official communications","5","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:10:07 PM GMT+8","Student","Always","Missing important announcements or official communications","5","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:11:33 PM GMT+8","Student","Often","Missing important announcements or official communications","4","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);One-click Facility Booking (Intuitive system for reserving campus resources)","-"
"2026/04/30 3:11:54 PM GMT+8","Student","Sometimes","Finding accurate and up-to-date timetables/schedules","5","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/04/30 3:12:12 PM GMT+8","Student","Always","Booking or reserving campus facilities (e.g., rooms, equipment, sports grounds)","5","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.)","-"
"2026/04/30 3:12:31 PM GMT+8","Student","Sometimes","Booking or reserving campus facilities (e.g., rooms, equipment, sports grounds)","5","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources);Event Management & Reminders (Calendar integration for key deadlines and events)",""
"2026/05/07 4:30:25 PM GMT+8","Lecturer","Often","Finding accurate and up-to-date timetables/schedules","3","Unified Timetable Dashboard (Personalized view of classes, meetings, etc.);Centralized Announcements/Notifications (Official campus news and alerts);One-click Facility Booking (Intuitive system for reserving campus resources);Event Management & Reminders (Calendar integration for key deadlines and events)",""
